Country Code,Country Name,Survey Year,Survey Name,Indicator,By Variable,Characteristic Category,Characteristic Label,Value,CI High,CI Low,CI High,CI Low,CI High,CI Low,CI High,CI Low,CI High,CI Low
AL,Albania,2017,2017-18 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,4.2,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,3.9,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,10.2,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked for cash only,,Total,Total,84.8,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,87.1,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked for cash and in-kind payment,,Total,Total,3.8,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,3.3,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked for in-kind payment only,,Total,Total,4.3,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,3.3,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked unpaid,,Total,Total,7.2,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,6.3,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,54.6,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,12.9,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,2.8,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,29.6,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked for cash only,,Total,Total,73,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,73.3,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked for cash and in-kind payment,,Total,Total,13.6,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,13.5,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked for in-kind payment only,,Total,Total,1.1,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,1.1,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked unpaid,,Total,Total,12.3,,,,,,,,,,
AO,Angola,2015,2015-16 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,12.1,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,59.2,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,2.3,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,3,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,35.5,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked for cash only,,Total,Total,63.7,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,62.1,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked for cash and in-kind payment,,Total,Total,6.3,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,6.6,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked for in-kind payment only,,Total,Total,4.9,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,5.1,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked unpaid,,Total,Total,25.2,,,,,,,,,,
AM,Armenia,2000,2000 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,26.2,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,73.2,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,5.6,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,0.7,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,20.2,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked for cash only,,Total,Total,85.3,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,85.3,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked for cash and in-kind payment,,Total,Total,3.7,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,3.7,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked for in-kind payment only,,Total,Total,5.3,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,5.3,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked unpaid,,Total,Total,5.3,,,,,,,,,,
AM,Armenia,2005,2005 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,5.3,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,71.5,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,9.4,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,8.2,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,10.8,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked for cash only,,Total,Total,86.7,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,86.7,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked for cash and in-kind payment,,Total,Total,6.2,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,6.2,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked for in-kind payment only,,Total,Total,2.2,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,2.2,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked unpaid,,Total,Total,4.2,,,,,,,,,,
AM,Armenia,2010,2010 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,4.2,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,65.3,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,14.9,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,10.7,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,9.1,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked for cash only,,Total,Total,87.4,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,87.4,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked for cash and in-kind payment,,Total,Total,9,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,9,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked for in-kind payment only,,Total,Total,2.1,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,2.1,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked unpaid,,Total,Total,1.4,,,,,,,,,,
AM,Armenia,2016,2015-16 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,1.4,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,83,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,6.2,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,3.6,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,7.2,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked for cash only,,Total,Total,88,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,87.7,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked for cash and in-kind payment,,Total,Total,4.7,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,4.8,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked for in-kind payment only,,Total,Total,3,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,3.4,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked unpaid,,Total,Total,4.3,,,,,,,,,,
AZ,Azerbaijan,2006,2006 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,4.2,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,81.5,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,8.4,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,5.9,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,4.1,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked for cash only,,Total,Total,71.6,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,72.6,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked for cash and in-kind payment,,Total,Total,5.4,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,5.5,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked for in-kind payment only,,Total,Total,21.4,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,20.7,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked unpaid,,Total,Total,0.1,,,,,,,,,,
BD,Bangladesh,2004,2004 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,0.1,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,75.4,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,7.1,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,3.8,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,13.6,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked for cash only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked unpaid,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2007,2007 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,92.2,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,4.1,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,1.9,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,1.1,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked for cash only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked unpaid,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2011,2011 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,84.6,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,6,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,1.3,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,8,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked for cash only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked unpaid,,Total,Total,,,,,,,,,,,
BD,Bangladesh,2014,2014 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,61.4,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,32.4,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,2.7,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,3.4,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked for cash only,,Total,Total,42.8,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,43.9,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked for cash and in-kind payment,,Total,Total,52.7,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,51.6,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked for in-kind payment only,,Total,Total,3,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,2.8,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked unpaid,,Total,Total,1.4,,,,,,,,,,
BJ,Benin,2001,2001 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,1.5,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,53.3,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,34.2,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,4.1,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,8.3,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked for cash only,,Total,Total,48,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,50.8,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked for cash and in-kind payment,,Total,Total,42.6,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,40.7,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked for in-kind payment only,,Total,Total,6.3,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,5.8,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked unpaid,,Total,Total,2.9,,,,,,,,,,
BJ,Benin,2006,2006 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,2.6,,,,,,,,,,
BJ,Benin,2012,2011-12 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
BJ,Benin,2012,2011-12 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,71.8,,,,,,,,,,
BJ,Benin,2012,2011-12 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
